Name,Price,CPU,RAM,GPU,Storage,Screen Size,Screen Resolution,Panel,Screen frequency,Weight,URL
Laptop ASUS TUF Gaming F16 FX607VJ-RL034W,20.990.000đ,"Intel Core 5 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 lõi, 12 luồng)",16GB,NVIDIA GeForce RTX 3050 6GB GDDR6Intel Iris Xe Graphics,"512GB PCIe 4.0 NVMe M.2 SSD (2 Khe cắm M.2 hỗ trợ SATA hoặc NVMe, tối đa 2TB)",16 inches,1920 x 1200 pixels (WUXGA),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-f16-fx607vj-rl034w.html
Laptop ASUS VivoBook Go 14 E1404FA-NK177W,11.490.000đ,"AMD Ryzen 5 7520U (4MB cache, up to 4.3 GHz, 4 lõi/8 luồng)",16GB,AMD Radeon Graphics,SSD 512GB M.2 NVMe PCIe 3.0,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-go-14-e1404fa-nk177w.html
Laptop ASUS Gaming Vivobook 16X K3605VC-RP431W,17.990.000đ,"Intel Core i5-13420H 2.1 GHz (12MB Cache, up to 4.6 GHz, 8 lõi, 12 luồng)",16GB,NVIDIA Geforce RTX 3050 4GB GDDR6 Intel UHD Graphics,512GB M.2 NVMe PCIe 4.0 SSD,16 inches,1920 x 1200 pixels (WUXGA),,,,https://cellphones.com.vn/laptop-asus-vivobook-16x-k3605vc-rp431w.html
Laptop ASUS Gaming V16 V3607VU-RP343W,23.990.000đ,"Intel Core 5 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 lõi, 12 luồng)",16GB,NVIDIA GeForce RTX 4050 6GB GDDR6 (194 AI TOPs)Intel Graphics,512GB M.2 NVMe PCIe 4.0 SSD,16 inches,1920 x 1200 pixels (WUXGA),,,,https://cellphones.com.vn/laptop-asus-gaming-v16-v3607vu-rp343w.html
Laptop ASUS Vivobook 15 X1502VA-BQ885W,13.990.000đ,"Intel Core i5-13420H 2.1 GHz (12MB Cache, up to 4.6 GHz, 8 lõi, 12 luồng)",16GB,Intel HD Graphics,512GB M.2 NVMe PCIe 4.0 SSD,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-15-x1502va-bq885w.html
Laptop ASUS TUF Gaming F16 FX607VU-RL045W,25.490.000đ,"Intel Core 5 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 lõi, 12 luồng)",16GB,"NVIDIA GeForce RTX 4050 6GB GDDR6 (194 AI TOPs) 2420MHz* at 140W (2370MHz Boost Clock+50MHz OC, 115W+25W Dynamic Boost) Intel Iris Xe Graphics","512GB PCIe 4.0 NVMe M.2 SSD (2 Khe cắm M.2 hỗ trợ SATA hoặc NVMe, tối đa 2TB)",16 inches,1920 x 1200 pixels (FullHD+),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-f16-fx607vu-rl045w.html
Laptop ASUS TUF Gaming A15 FA506NCR-HN097W,18.990.000đ,"AMD Ryzen 7 7435HS 3.1GHz (20MB Cache, up to 4.5 GHz, 8 lõi, 16 luồng)",16GB,NVIDIA GeForce RTX 3050 4GB GDDR6  AMD Radeon Graphics,"512GB PCIe 4.0 NVMe M.2 SSD (2 Khe cắm M.2 hỗ trợ SATA hoặc NVMe, Tối đa 1TB)",15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa506ncr-hn097w.html
Laptop ASUS Gaming V16 V3607VM-RP044W,34.490.000đ,"Intel Core 7 240H 2.5 GHz (24MB Cache, up to 5.2 GHz, 10 lõi, 16 luồng)",32GB,NVIDIA GeForce RTX 5060 8GB GDDR7Intel Graphics,1TB M.2 NVMe PCIe 4.0 SSD,16 inches,1920 x 1200 pixels (WUXGA),,,,https://cellphones.com.vn/laptop-asus-gaming-v16-v3607vm-rp044w.html
Laptop ASUS Vivobook Go 15 E1504GA-BQ1141W,8.790.000đ,"Intel Core i3-N305 1.8 GHz (6MB Cache, up to 3.8 GHz, 8 lõi, 8 luồng)",8GB,Intel UHD Graphics,256G UFS 2.1,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-go-15-e1504ga-bq1141w.html
Laptop ASUS Vivobook 15 OLED A1505VA-L1688W,18.490.000đ,"Intel Core i7-13620H 2.4 GHz (24MB Cache, up to 4.9 GHz, 10 lõi, 16 luồng)",16GB,Intel UHD Graphics,512GB M.2 NVMe PCIe 4.0 SSD,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-15-oled-a1505va-l1688w.html
Laptop ASUS Vivobook 15 OLED A1505VA MA468W,16.090.000đ,"Intel Core I5-13500H 2.6 GHz (18MB Cache, up to 4.7 GHz, 12 lõi, 16 luồng)",16GB,Intel Iris Xe Graphics,512GB M.2 NVMe PCIe 3.0 SSD,15.6 inches,2880 x 1620 pixels,,,,https://cellphones.com.vn/laptop-asus-vivobook-15-oled-a1505va-ma468w.html
Laptop ASUS Vivobook S14 S3407VA-LY046W,17.690.000đ,"Intel Core i5-13420H 2.1 GHz (12MB Cache, up to 4.6 GHz, 8 lõi, 12 luồng)",16GB,Intel UHD Graphics,512GB M.2 NVMe PCIe 4.0 SSD,14 inches,1920 x 1200 pixels (WUXGA),,,,https://cellphones.com.vn/laptop-asus-vivobook-s14-s3407va-ly046w.html
Laptop ASUS TUF Gaming A17 FA706NFR-HX025W,17.990.000đ,"AMD Ryzen 7 7435HS 3.1GHz (20MB Cache, up to 4.5 GHz, 8 lõi, 16 luồng)",16GB,NVIDIA GeForce RTX 2050 4GB GDDR6 AMD Radeon Graphics,"512GB PCIe 4.0 NVMe M.2 SSD (2 Khe cắm M.2 hỗ trợ SATA hoặc NVMe, nâng cấp tối đa 1TB)",17.3 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-a17-fa706nfr-hx025w.html
Laptop ASUS Vivobook 16X K3605VC-RP491W,20.090.000đ,"Intel Core i7-13620H 2.4 GHz (24MB Cache, up to 4.9 GHz, 10 lõi, 16 luồng)",16GB,NVIDIA GeForce RTX3050 4GB GDDR6Intel UHD Graphics,512GB M.2 NVMe PCIe 4.0 SSD,16 inches,1920 x 1200 pixels (WUXGA),,,,https://cellphones.com.vn/laptop-asus-vivobook-16x-k3605vc-rp491w.html
Laptop ASUS Vivobook 15 OLED A1505VA-MA469W,20.490.000đ,"Intel Core i9-13900H 2.6 GHz (24MB Cache, up to 5.4 GHz, 14 lõi, 20 luồng)",16GB,Intel Iris Xe Graphics,512GB M.2 NVMe PCIe 3.0 SSD,15.6 inches,2880 x 1620 pixels,,,,https://cellphones.com.vn/laptop-asus-vivobook-15-oled-a1505va-ma469w.html
Laptop ASUS Vivobook 15 OLED A1505VA-MA505W,16.490.000đ,"Intel Core i5-13420H 2.1 GHz (12MB Cache, up to 4.6 GHz, 8 lõi, 12 luồng)",16GB,Intel UHD Graphics,512GB M.2 NVMe PCIe 4.0 SSD,15.6 inches,2880 x 1620 pixels,,,,https://cellphones.com.vn/laptop-asus-vivobook-15-oled-a1505va-ma505w.html
Laptop ASUS Vivobook 15 X1504VA-NJ1969W,13.690.000đ,"Intel Core i5-1334U 1.3 GHz (12MB Cache, up to 4.6 GHz, 10 lõi, 12 luồng)",16GB,Intel Iris Xe Graphics,512GB M.2 NVMe PCIe 3.0 SSD,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-15-x1504va-nj1969w.html
Laptop ASUS Vivobook 14 X1404VA-NK394W,9.990.000đ,"Intel Core i3-1315U 1.2 GHz (10MB Cache, up to 4.5 GHz, 6 lõi, 8 luồng)",8GB,Intel UHD Graphics,512GB M.2 NVMe PCIe 4.0 SSD,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-14-x1404va-nk394w.html
Laptop ASUS Vivobook 14 X1405VA-LY623W,13.990.000đ,"Intel Core i5-13420H 2.1 GHz (12MB Cache, up to 4.6 GHz, 8 lõi, 12 luồng)",16GB,Intel UHD Graphics,512GB M.2 NVMe PCIe 4.0 SSD,14 inches,1920 x 1200 pixels (WUXGA),,,,https://cellphones.com.vn/laptop-asus-vivobook-14-x1405va-ly623w.html
Laptop ASUS Vivobook 16 A1607QA-MB067WS,15.990.000đ,"Snapdragon X  X1 26 100 (30MB Cache, up to 2.97GHz,  8 lõi, 8 luồng)",16GB,Qualcomm Adreno GPUTiến trình chip mới nên có thể không kết nối được với các thiết bị có driver cũ,512GB M.2 NVMe PCIe 4.0 SSD,16 inches,1920 x 1200 pixels (WUXGA),,,,https://cellphones.com.vn/laptop-asus-vivobook-16-a1607qa-mb067ws-snapdragon.html
